Codigo,Marca,Modelo,Color,PrecioConIva,PrecioSinIva,Inactivo
AF7312,ALBERTA FERRETTI,7312,,7018,5800,
AF8031,ALBERTA FERRETTI,8031,,7018,5800,
AF8033,ALBERTA FERRETTI,8033,,7018,5800,
AFB24,ALBERTA FERRETTI,B24,,7018,5800,
AFB28,ALBERTA FERRETTI,B28,,7018,5800,
AFB30,ALBERTA FERRETTI,B30,,7018,5800,
AFB32,ALBERTA FERRETTI,B32,,7018,5800,
AFB34,ALBERTA FERRETTI,B34,,7018,5800,
AFB38,ALBERTA FERRETTI,B38,,7018,5800,
AFB40,ALBERTA FERRETTI,ALBERTA FERRETI B40,,7018,5800,
AFB42,ALBERTA FERRETTI,B42,,7018,5800,
AFB44X,ALBERTA FERRETTI,B44X,,7018,5800,
AFB46,ALBERTA FERRETTI,B46,,7018,5800,
AFB48,ALBERTA FERRETTI,B48,,7018,5800,
AFB49,ALBERTA FERRETTI,B49,,7018,5800,
AFB51,ALBERTA FERRETTI,B51,,7018,5800,
AFB52,ALBERTA FERRETTI,B52,,7018,5800,
AFB53,ALBERTA FERRETTI,B53,,7018,5800,
AFB56,ALBERTA FERRETTI,B56,,7018,5800,
AFB57,ALBERTA FERRETTI,B57,,7018,5800,
AFB59,ALBERTA FERRETTI,B59,,5687,4700,
AFBO10040,ALBERTA FERRETTI,BO10040,,5687,4700,
AFBO10044,ALBERTA FERRETTI,BO10044,,7018,5800,
AFE1698,ALBERTA FERRETTI,E1698,,7018,5800,
AFE1716,ALBERTA FERRETTI,E1716,,7018,5800,
AFF1058,ALBERTA FERRETTI,F1058,,7018,5800,
AFF1060,ALBERTA FERRETTI,F1060,,7018,5800,
AFJ7003,ALBERTA FERRETTI,J7003,,5687,4700,
AFJ7004,ALBERTA FERRETTI,J7004,,7018,5800,
AFJ7034,ALBERTA FERRETTI,J7034,,7018,5800,
AFJ7045,ALBERTA FERRETTI,J7045,,7018,5800,
AFJ7046,ALBERTA FERRETTI,J7046,,7018,5800,
AFRX,MARCO ROSETTI,ALBERTA FERRETTI RX,,7018,5800,
AFY7027,ALBERTA FERRETTI,Y7027,,7018,5800,
AFY7029,ALBERTA FERRETTI,Y7029,,7018,5800,
AFY7031,ALBERTA FERRETTI,Y7031,,7018,5800,
AG,VARIOS,ARMAZON GINA,,5929,4900,
AM,VARIOS,ARMAZON METAL,,4000,3306,
AMC,VARIOS,ARMAZON METAL CLIPON,,4719,3900,
ASOL,VARIOS,ANTEOJO DE SOL POLARIZADO,,4465,3690,
ATR90,VARIOS,ARMAZON TR90,,5203,4300,
c600011,CENTRAL,60001,C1,31460,26000,
c600012,CENTRAL,60001,C2,31460,26000,
c600013,CENTRAL,60001,C3,31460,26000,
C600071,CENTRAL,60007,C1,31460,26000,
C600072,CENTRAL,60007,C2,31460,26000,
C600077,CENTRAL,60007,C7,31460,26000,
c600081,CENTRAL,60008,C1,31460,26000,
C600082,CENTRAL,60008,C2,31460,26000,
C600085,CENTRAL,60008,C5,31460,26000,
C600087,CENTRAL,60008,C7,31460,26000,
C600151,CENTRAL,60015,C1,31460,26000,
C600153,CENTRAL,60015,C3,31460,26000,
C600154,CENTRAL,60015,C4,31460,26000,
C600156,CENTRAL,60015,C6,31460,26000,
c600461,CENTRAL,60046,C1,31460,26000,
c600464,CENTRAL,60046,C4,31460,26000,
c600466,CENTRAL,60046,C6,31460,26000,
C600481,CENTRAL,60048,C1,31460,26000,
C600485,CENTRAL,60048,C5,31460,26000,
C600486,CENTRAL,60048,C6,31460,26000,
C600487,CENTRAL,60048,C7,31460,26000,
C600851,CENTRAL,60085,C1,31460,26000,
C600852,CENTRAL,60085,C2,31460,26000,
C600856,CENTRAL,60085,C6,31460,26000,
C600861,CENTRAL,60086,C1,31460,26000,
C600862,CENTRAL,60086,C2,31460,26000,
C600863,CENTRAL,60086,C3,31460,26000,
C600866,CENTRAL,60086,C6,31460,26000,
CAERO1,CENTRAL,AERO,C1,47069,38900,
CAERO2,CENTRAL,AERO,C2,47069,38900,
CAERO4,CENTRAL,AERO,C4,47069,38900,
CAESTETIC1,CENTRAL,AESTETIC,C1,39325,32500,
CAESTETIC2,CENTRAL,AESTETIC,C2,39325,32500,
CAETHER1,CENTRAL,AETHER,C1,47069,38900,
CAETHER2,CENTRAL,AETHER,C2,47069,38900,
CAETHER3,CENTRAL,AETHER,C3,47069,38900,
CAETHER4,CENTRAL,AETHER,C4,47069,38900,
CAIR2,CENTRAL,AIR,C2,47069,38900,
CAIR6,CENTRAL,AIR,C6,47069,38900,
CAIR7,CENTRAL,AIR,C7,47069,38900,
CAIR8,CENTRAL,AIR,C8,47069,38900,
CALAR1,CENTRAL,ALAR,C1,47069,38900,
CALAR2,CENTRAL,ALAR,C2,47069,38900,
CALAR3,CENTRAL,ALAR,C3,47069,38900,
CALAR5,CENTRAL,ALAR,C5,47069,38900,
CALEGRE6,CENTRAL,ALEGRE,C6,27709,22900,
CAMADO2,CENTRAL,AMADO,C2,27709,22900,
CAMADO5,CENTRAL,AMADO,C5,27709,22900,
CAMADO6,CENTRAL,AMADO,C6,27709,22900,
CAMALFI1,CENTRAL,AMALFI,C1,27709,22900,
CAMALFI3,CENTRAL,AMALFI,C3,27709,22900,
CAMALFI5,CENTRAL,AMALFI,C5,27709,22900,
CAMSTERDAM1,CENTRAL,AMSTERDAM,C1,39325,32500,
CAMSTERDAM2,CENTRAL,AMSTERDAM,C2,39325,32500,
CAMSTERDAM3,CENTRAL,AMSTERDAM,C3,39325,32500,
CAMSTERDAM5,CENTRAL,AMSTERDAM,C5,39325,32500,
CANDREW1,CENTRAL,ANDREW,C1,26741,22100,
CANDREW2,CENTRAL,ANDREW,C2,26741,22100,
CAPEX,CENTRAL,APEX,,36179,29900,
CAPOLLO4,CENTRAL,APOLLO,C4,22808,18850,
CAPOLLO5,CENTRAL,APOLLO,C5,22808,18850,
CARCADIA1,CENTRAL,ARCADIA,C1,27709,22900,
CARCADIA3,CENTRAL,ARCADIA,C3,27709,22900,
CARCADIA4,CENTRAL,ARCADIA,C4,27709,22900,
CARCADIA5,CENTRAL,ARCADIA,C5,27709,22900,
CARCADIA6,CENTRAL,ARCADIA,C6,27709,22900,
CARCADIA8,CENTRAL,ARCADIA,C8,27709,22900,
CARCANE1,CENTRAL,ARCANE,C1,53119,43900,
CARCANE4,CENTRAL,ARCANE,C4,53119,43900,
CARCANE5,CENTRAL,ARCANE,C5,53119,43900,
CARCOS1,CENTRAL,ARCOS,C1,47069,38900,
CARCOS2,CENTRAL,ARCOS,C2,47069,38900,
CARCOS4,CENTRAL,ARCOS,C4,47069,38900,
CARCOS5,CENTRAL,ARCOS,C5,47069,38900,
CARMONIA3,CENTRAL,ARMONIA,C3,27709,22900,
CARMONIA4,CENTRAL,ARMONIA,C4,27709,22900,
CARMONIA6,CENTRAL,ARMONIA,C6,27709,22900,
CARQ2,CENTRAL,ARQ,C2,42229,34900,
CARQ3,CENTRAL,ARQ,C3,42229,34900,
CARQ5,CENTRAL,ARQ,C5,42229,34900,
CARTIC1,CENTRAL,ARTIC,C1,36179,29900,
CARTIC2,CENTRAL,ARTIC,C2,36179,29900,
CARTIC3,CENTRAL,ARTIC,C3,36179,29900,
CARTIST1,CENTRAL,ARTIST,C1,20449,16900,
CARTIST4,CENTRAL,ARTIST,C4,20449,16900,
CARTIST5,CENTRAL,ARTIST,C5,20449,16900,
CARTIST6,CENTRAL,ARTIST,C6,20449,16900,
CASH1,CENTRAL,ASH,C1,27709,22900,
CASH2,CENTRAL,ASH,C2,27709,22900,
CASH4,CENTRAL,ASH,C4,27709,22900,
CASH5,CENTRAL,ASH,C5,27709,22900,
CASTON1,CENTRAL,ASTON,C1,22808,18850,
CASTON3,CENTRAL,ASTON,C3,22808,18850,
CASTON5,CENTRAL,ASTON,C5,22808,18850,
CASTRA1,CENTRAL,ASTRA,C1,33759,27900,
CASTRA2,CENTRAL,ASTRA,C2,33759,27900,
CASTRA3,CENTRAL,ASTRA,C3,33759,27900,
CASTRA4,CENTRAL,ASTRA,C4,33759,27900,
CATENAS1,CENTRAL,ATENAS,C1,37389,30900,
CATENAS3,CENTRAL,ATENAS,C3,37389,30900,
CATENAS5,CENTRAL,ATENAS,C5,37389,30900,
CATLANTIDA1,CENTRAL,ATLANTIDA,C1,26499,21900,
CATLANTIDA2,CENTRAL,ATLANTIDA,C2,26499,21900,
CATLANTIDA3,CENTRAL,ATLANTIDA,C3,30129,24900,
CATLAS1,CENTRAL,ATLAS,C1,47069,38900,
CATLAS2,CENTRAL,ATLAS,C2,47069,38900,
CATLAS3,CENTRAL,ATLAS,C3,47069,38900,
CATLAS4,CENTRAL,ATLAS,C4,47069,38900,
CATOM1,CENTRAL,ATOM,C1,47069,38900,
CATOM2,CENTRAL,ATOM,C2,47069,38900,
CATOM3,CENTRAL,ATOM,C3,47069,38900,
CATOM5,CENTRAL,ATOM,C5,47069,38900,
CATOM6,CENTRAL,ATOM,C6,47069,38900,
CAURA,CENTRAL,AURA,,47069,38900,
CAURA1,CENTRAL,AURA,C1,47069,38900,
CAURA2,CENTRAL,AURA,C2,47069,38900,
CAURA3,CENTRAL,AURA,C3,47069,38900,
CAURA4,CENTRAL,AURA,C4,47069,38900,
CAURA5,CENTRAL,AURA,C5,47069,38900,
CAURORA1,CENTRAL,AURORA,C1,36179,29900,
CAURORA2,CENTRAL,AURORA,C2,36179,29900,
CAURORA4,CENTRAL,AURORA,C4,36179,29900,
CAURORA6,CENTRAL,AURORA,C6,36179,29900,
CAVENTURA1,CENTRAL,AVENTURA,C1,36179,29900,
CAVENTURA5,CENTRAL,AVENTURA,C5,36179,29900,
CAVIATOR1,CENTRAL,AVIATOR,C1,39325,32500,
CAVIATOR15,CENTRAL,AVIATOR,C15,39325,32500,
CAVIATOR2,CENTRAL,AVIATOR,C2,39325,32500,
CAVIATOR3,CENTRAL,AVIATOR,C3,39325,32500,
CAVIATOR4,CENTRAL,AVIATOR,C4,39325,32500,
CAXEL1,CENTRAL,AXEL,C1,47069,38900,
CAXEL2,CENTRAL,AXEL,C2,47069,38900,
CAXEL3,CENTRAL,AXEL,C3,47069,38900,
CAXEL5,CENTRAL,AXEL,C5,47069,38900,
CBAHIA1,CENTRAL,BAHIA,C1,47069,38900,
CBAHIA2,CENTRAL,BAHIA,C2,47069,38900,
CBAHIA3,CENTRAL,BAHIA,C3,47069,38900,
CBAHIA4,CENTRAL,BAHIA,C4,47069,38900,
CBAHIA5,CENTRAL,BAHIA,C5,47069,38900,
CBAHIA6,CENTRAL,BAHIA,C6,47069,38900,
CBAKER3,CENTRAL,BAKER,C3,27709,22900,
CBAKER4,CENTRAL,BAKER,C4,27709,22900,
CBAKER5,CENTRAL,BAKER,C5,27709,22900,
CBAKER6,CENTRAL,BAKER,C6,27709,22900,
CBALI1,CENTRAL,BALI,C1,54329,44900,
CBALI2,CENTRAL,BALI,C2,54329,44900,
CBALI3,CENTRAL,BALI,C3,54329,44900,
CBALI5,CENTRAL,BALI,C5,54329,44900,
CBALISOL1,CENTRAL,BALI SOL,C1,47069,38900,
CBALISOL2,CENTRAL,BALI SOL,C2,47069,38900,
CBALISOL5,CENTRAL,BALI SOL,C5,47069,38900,
CBALISOL6,CENTRAL,BALI SOL,C6,47069,38900,
CBANDIT1,CENTRAL,BANDIT,C1,27709,22900,
CBANDIT2,CENTRAL,BANDIT,C2,27709,22900,
CBANDIT3,CENTRAL,BANDIT,C3,27709,22900,
CBANDIT4,CENTRAL,BANDIT,C4,27709,22900,
CBANDIT5,CENTRAL,BANDIT,C5,27709,22900,
CBANGALORE2,CENTRAL,BANGALORE,C2,26741,22100,
CBANGALORE5,CENTRAL,BANGALORE,C5,26741,22100,
CBANGALORE6,CENTRAL,BANGALORE,C6,26741,22100,
CBANGALORE8,CENTRAL,BANGALORE,C8,26741,22100,
CBARCELONA4,CENTRAL,BARCELONA,C4,44649,36900,
CBARCELONA7,CENTRAL,BARCELONA,C7,44649,36900,
CBARRA1,CENTRAL,BARRA,C1,47069,38900,
CBARRA2,CENTRAL,BARRA,C2,47069,38900,
CBARRA3,CENTRAL,BARRA,C3,47069,38900,
CBARRA4,CENTRAL,BARRA,C4,47069,38900,
CBARU1,CENTRAL,BARU,C1,22808,18850,
CBARU3,CENTRAL,BARU,C3,22808,18850,
CBARU6,CENTRAL,BARU,C6,22808,18850,
CBASEL1,CENTRAL,BASEL,C1,33759,27900,
CBASEL4,CENTRAL,BASEL,C4,33759,27900,
CBASEL6,CENTRAL,BASEL,C6,33759,27900,
CBEAU4,CENTRAL,BEAU,C4,36179,29900,
CBEAU5,CENTRAL,BEAU,C5,36179,29900,
CBEGUR1,CENTRAL,BEGUR,C1,26741,22100,
CBEGUR2,CENTRAL,BEGUR,C2,26741,22100,
CBEGUR3,CENTRAL,BEGUR,C3,26741,22100,
CBEIJING1,CENTRAL,BEIJING,C1,22808,18850,
CBEIJING5,CENTRAL,BEIJING,C5,22808,18850,
CBEING2,CENTRAL,BEING,C2,27709,22900,
CBEING3,CENTRAL,BEING,C3,27709,22900,
CBEING317,CENTRAL,BEING,C317,27709,22900,
CBEING318,CENTRAL,BEING,C318,27709,22900,
CBEING319,CENTRAL,BEING,C319,27709,22900,
CBEING4,CENTRAL,BEING,C4,27709,22900,
CBELLA1,CENTRAL,BELLA,C1,44649,36900,
CBELLA3,CENTRAL,BELLA,C3,44649,36900,
CBELLA6,CENTRAL,BELLA,C6,44649,36900,
CBELLVILLE21,CENTRAL,BELLVILLE2,C1,33759,27900,
CBELLVILLE22,CENTRAL,BELLVILLE2,C2,33759,27900,
CBELLVILLE23,CENTRAL,BELLVILLE2,C3,33759,27900,
CBELLVILLE24,CENTRAL,BELLVILLE2,C4,33759,27900,
CBELLVILLE25,CENTRAL,BELLVILLE2,C5,33759,27900,
CBELLVILLE26,CENTRAL,BELLVILLE2,C6,33759,27900,
CBENETH1,CENTRAL,BENETH,C1,36179,29900,
CBENETH3,CENTRAL,BENETH,C3,36179,29900,
CBENETH5,CENTRAL,BENETH,C5,36179,29900,
CBERLIN1,CENTRAL,BERLIN,C1,49489,40900,
CBERLIN3,CENTRAL,BERLIN,C3,49489,40900,
CBERLIN5,CENTRAL,BERLIN,C5,27528,22750,
CBERLIN6,CENTRAL,BERLIN,C6,49489,40900,
CBESON1,CENTRAL,BESON,C1,27709,22900,
CBESON3,CENTRAL,BESON,C3,27709,22900,
CBESON4,CENTRAL,BESON,C4,27709,22900,
CBESON5,CENTRAL,BESON,C5,27709,22900,
CBESON6,CENTRAL,BESON,C6,27709,22900,
CBETANCURIA1,CENTRAL,BETANCURIA,C1,47069,38900,
CBETANCURIA2,CENTRAL,BETANCURIA,C2,47069,38900,
CBETANCURIA3,CENTRAL,BETANCURIA,C3,47069,38900,
CBETANCURIA4,CENTRAL,BETANCURIA,C4,47069,38900,
CBETANCURIA5,CENTRAL,BETANCURIA,C5,47069,38900,
CBETANCURIA6,CENTRAL,BETANCURIA,C6,47069,38900,
CBIARRITZ1,CENTRAL,BIARRITZ,C1,39809,32900,
CBIARRITZ5,CENTRAL,BIARRITZ,C5,39809,32900,
CBIARRITZ7,CENTRAL,BIARRITZ,C7,39809,32900,
CBILBAO1,CENTRAL,BILBAO,C1,33759,27900,
CBILBAO5,CENTRAL,BILBAO,C5,33759,27900,
CBILBAO8,CENTRAL,BILBAO,C8,33759,27900,
CBLANCA1,CENTRAL,BLANCA,C1,31460,26000,
CBLANCA3,CENTRAL,BLANCA,C3,31460,26000,
CBLANCA4,CENTRAL,BLANCA,C4,31460,26000,
CBLAZE3,CENTRAL,BLAZE,C3,36179,29900,
CBLAZE4,CENTRAL,BLAZE,C4,36179,29900,
CBLAZE5,CENTRAL,BLAZE,C5,36179,29900,
CBOA11901,CENTRAL,BOA1190,C1,31460,26000,
CBOA11902,CENTRAL,BOA1190,C2,31460,26000,
CBOA11903,CENTRAL,BOA1190,C3,31460,26000,
CBOA11904,CENTRAL,BOA1190,C4,31460,26000,
CBOA11991,CENTRAL,BOA1199,C1,31460,26000,
CBOA11992,CENTRAL,BOA1199,C2,31460,26000,
CBOA11993,CENTRAL,BOA1199,C3,31460,26000,
CBOA12341,CENTRAL,BOA1234,C1,31460,26000,
CBOA12342,CENTRAL,BOA1234,C2,31460,26000,
CBOA12343,CENTRAL,BOA1234,C3,31460,26000,
CBOA12344,CENTRAL,BOA1234,C4,31460,26000,
CBOA12421,CENTRAL,BOA1242,C1,31460,26000,
CBOA12422,CENTRAL,BOA1242,C2,31460,26000,
CBOA12423,CENTRAL,BOA1242,C3,31460,26000,
CBOA12424,CENTRAL,BOA1242,C4,31460,26000,
CBOA12601,CENTRAL,BOA1260,C1,31460,26000,
CBOA12602,CENTRAL,BOA1260,C2,31460,26000,
CBOA12604,CENTRAL,BOA1260,C4,31460,26000,
CBOLD1,CENTRAL,BOLD,C1,47069,38900,
CBOLD2,CENTRAL,BOLD,C2,47069,38900,
CBOLD3,CENTRAL,BOLD,C3,47069,38900,
CBOLD4,CENTRAL,BOLD,C4,47069,38900,
CBOLD5,CENTRAL,BOLD,C5,47069,38900,
CBOLD6,CENTRAL,BOLD,C6,47069,38900,
CBOLT1,CENTRAL,BOLT,C1,36179,29900,
CBOLT2,CENTRAL,BOLT,C2,36179,29900,
CBOLT3,CENTRAL,BOLT,C3,36179,29900,
CBOLT4,CENTRAL,BOLT,C4,36179,29900,
CBOLT5,CENTRAL,BOLT,C5,36179,29900,
CBOMBAY1,CENTRAL,BOMBAY,C1,27528,22750,
CBOMBAY2,CENTRAL,BOMBAY,C2,27528,22750,
CBOOMER12,CENTRAL,BOOMER C1-2,,51909,42900,
CBOOMER14,CENTRAL,BOOMER C1-4,,51909,42900,
CBOOMER34,CENTRAL,BOOMER C3-4,,51909,42900,
CBOSTON1,CENTRAL,BOSTON,C1,39325,32500,
CBOSTON2,CENTRAL,BOSTON,C2,39325,32500,
CBOSTON3,CENTRAL,BOSTON,C3,39325,32500,
CBOSTON5,CENTRAL,BOSTON,C5,39325,32500,
CBRASILIA1,CENTRAL,BRASILIA,C1,39809,32900,
CBRASILIA6,CENTRAL,BRASILIA,C6,39809,32900,
CBRASILIA7,CENTRAL,BRASILIA,C7,39809,32900,
CBRAVO5,CENTRAL,BRAVO,C5,27709,22900,
CBRIO1,CENTRAL,BRIO,C1,51909,42900,
CBRIO2,CENTRAL,BRIO,C2,51909,42900,
CBRIO3,CENTRAL,BRIO,C3,51909,42900,
CBRIO4,CENTRAL,BRIO,C4,51909,42900,
CBRIO5,CENTRAL,BRIO,C5,51909,42900,
CBRISBANE1,CENTRAL,BRISBANE,C1,36179,29900,
CBRISBANE2,CENTRAL,BRISBANE,C2,36179,29900,
CBRISBANE3,CENTRAL,BRISBANE,C3,36179,29900,
CBSAS1,CENTRAL,BUENOS AIRES,C1,39325,32500,
CBSAS2,CENTRAL,BUENOS AIRES,C2,39325,32500,
CBSAS3,CENTRAL,BUENOS AIRES,C3,39325,32500,
CBSAS5,CENTRAL,BUENOS AIRES,C5,39325,32500,
CBUDAPEST2,CENTRAL,BUDAPEST,C2,26741,22100,
CBUGA1,CENTRAL,BUGA,C1,36179,29900,
CBUGA2,CENTRAL,BUGA,C2,36179,29900,
CBUGA3,CENTRAL,BUGA,C3,36179,29900,
CBUILDER1,CENTRAL,BUILDER,C1,27709,22900,
CBUILDER2,CENTRAL,BUILDER,C2,27709,22900,
CBUILDER5,CENTRAL,BUILDER,C5,27709,22900,
CCACHO1,CENTRAL,CACHO,C1,27709,22900,
CCACHO2,CENTRAL,CACHO,C2,27709,22900,
CCACHO3,CENTRAL,CACHO,C3,27709,22900,
CCACHO4,CENTRAL,CACHO,C4,27709,22900,
CCACHO5,CENTRAL,CACHO,C5,27709,22900,
CCACHO6,CENTRAL,CACHO,C6,27709,22900,
CCADAQUES1,CENTRAL,CADAQUES,C1,37389,30900,
CCADAQUES2,CENTRAL,CADAQUES,C2,37389,30900,
CCADAQUES4,CENTRAL,CADAQUES,C4,37389,30900,
CCALI1,CENTRAL,CALI,C1,47069,38900,
CCALI2,CENTRAL,CALI,C2,47069,38900,
CCALI3,CENTRAL,CALI,C3,47069,38900,
CCALI4,CENTRAL,CALI,C4,47069,38900,
CCALI5,CENTRAL,CALI,C5,47069,38900,
CCALIX1,CENTRAL,CALIX,C1,47069,38900,
CCALIX2,CENTRAL,CALIX,C2,47069,38900,
CCALIX3,CENTRAL,CALIX,C3,47069,38900,
CCALMA2,CENTRAL,CALMA,C2,27709,22900,
CCALMA3,CENTRAL,CALMA,C3,27709,22900,
CCALMA6,CENTRAL,CALMA,C6,27709,22900,
CCAMDEN1,CENTRAL,CAMDEN,C1,27709,22900,
CCAMDEN2,CENTRAL,CAMDEN,C2,27709,22900,
CCAMDEN5,CENTRAL,CAMDEN,C5,27709,22900,
CCANA1,CENTRAL,CANA,C1,47069,38900,
CCANA2,CENTRAL,CANA,C2,47069,38900,
CCANA3,CENTRAL,CANA,C3,47069,38900,
CCANA4,CENTRAL,CANA,C4,47069,38900,
CCANA5,CENTRAL,CANA,C5,47069,38900,
CCANA6,CENTRAL,CANA,C6,47069,38900,
CCANDY4,CENTRAL,CANDY,C4,36179,29900,
CCAPETOWN2,CENTRAL,CAPETOWN,C2,26741,22100,
CCAPETOWN4,CENTRAL,CAPETOWN,C4,26741,22100,
CCAPETOWN5,CENTRAL,CAPETOWN,C5,26741,22100,
CCAPETOWN6,CENTRAL,CAPETOWN,C6,26741,22100,
CCARGO1,CENTRAL,CARGO,C1,47069,38900,
CCARGO3,CENTRAL,CARGO,C3,47069,38900,
CCARGO4,CENTRAL,CARGO,C4,47069,38900,
CCARGO6,CENTRAL,CARGO,C6,47069,38900,
CCARL1,CENTRAL,CARL,C1,33759,27900,
CCARPENTER1,CENTRAL,CARPENTER,C1,27709,22900,
CCARPENTER2,CENTRAL,CARPENTER,C2,27709,22900,
CCARPENTER3,CENTRAL,CARPENTER,C3,27709,22900,
CCARTAGENA1,CENTRAL,CARTAGENA,C1,26741,22100,
CCARTAGENA5,CENTRAL,CARTAGENA,C5,26741,22100,
CCARTAGENA6,CENTRAL,CARTAGENA,C6,26741,22100,
CCARTAGENA7,CENTRAL,CARTAGENA,C7,26741,22100,
CCELA1,CENTRAL,CELA,C1,47069,38900,
CCELA4,CENTRAL,CELA,C4,47069,38900,
CCELA5,CENTRAL,CELA,C5,47069,38900,
CCELESTIAL2,CENTRAL,CELESTIAL,C2,44649,36900,
CCELESTIAL3,CENTRAL,CELESTIAL,C3,44649,36900,
CCELESTIAL4,CENTRAL,CELESTIAL,C4,44649,36900,
CCENX2,CENTRAL,CENX,C2,51909,42900,
CCENX3,CENTRAL,CENX,C3,51909,42900,
CCENX4,CENTRAL,CENX,C4,51909,42900,
CCERES1,CENTRAL,CERES,C1,26741,22100,
CCERES2,CENTRAL,CERES,C2,26741,22100,
CCERES4,CENTRAL,CERES,C4,26741,22100,
CCERO1,CENTRAL,CERO,C1,47069,38900,
CCERO2,CENTRAL,CERO,C2,47069,38900,
CCERO4,CENTRAL,CERO,C4,47069,38900,
CCERO5,CENTRAL,CERO,C5,47069,38900,
CCHARLES1,CENTRAL,CHARLES,C1,27709,22900,
CCHARLES2,CENTRAL,CHARLES,C2,27709,22900,
CCHARLES4,CENTRAL,CHARLES,C4,27709,22900,
CCHARLES5,CENTRAL,CHARLES,C5,27709,22900,
CCHICAGO1,CENTRAL,CHICAGO,C1,26741,22100,
CCHICAGO5,CENTRAL,CHICAGO,C5,26741,22100,
CCHICAGO6,CENTRAL,CHICAGO,C6,26741,22100,
CCHICAGO8,CENTRAL,CHICAGO,C8,26741,22100,
CCHILL1,CENTRAL,CHILL,C1,44649,36900,
CCHILL2,CENTRAL,CHILL,C2,44649,36900,
CCHILL22,CENTRAL,CHILL,C22,44649,36900,
CCHILL3,CENTRAL,CHILL,C3,44649,36900,
CCHILL6,CENTRAL,CHILL,C6,44649,36900,
CCHILL7,CENTRAL,CHILL,C7,44649,36900,
CCHISPA1,CENTRAL,CHISPA,C1,36179,29900,
CCHISPA4,CENTRAL,CHISPA,C4,36179,29900,
CCHISPA5,CENTRAL,CHISPA,C5,36179,29900,
CCHOLO1,CENTRAL,CHOLO,C1,27709,22900,
CCHOLO2,CENTRAL,CHOLO,C2,27709,22900,
CCHOLO3,CENTRAL,CHOLO,C3,27709,22900,
